Tumor_Sample_Barcode,lof_events,affected_genes
TCGA-D8-A27V-01A-12D-A17D-09,2,1
TCGA-DI-A1BU-01A-11D-A135-09,2,1
TCGA-05-4430-01A-02D-1265-08,1,1
TCGA-05-5423-01A-01D-1625-08,1,1
TCGA-13-0889-01A-01W-0420-08,1,1
TCGA-13-1507-01A-01W-0549-09,1,1
TCGA-22-5473-01A-01D-1632-08,1,1
TCGA-24-1434-01A-01W-0545-08,1,1
TCGA-24-2280-01A-01W-0799-08,1,1
TCGA-2F-A9KO-01A-11D-A38G-08,1,1
TCGA-33-4533-01A-01D-1267-08,1,1
TCGA-39-5034-01A-01D-1441-08,1,1
TCGA-50-5933-01A-11D-1753-08,1,1
TCGA-77-7142-01A-11D-2042-08,1,1
TCGA-78-7166-01A-12D-2063-08,1,1
TCGA-91-6829-01A-21D-1855-08,1,1
TCGA-A5-A0G1-01A-11D-A122-09,1,1
TCGA-A5-A0G2-01A-11W-A062-09,1,1
TCGA-A5-A1OF-01A-11D-A14G-09,1,1
TCGA-AA-3715-01A-01W-0900-09,1,1
TCGA-AA-3845-01A-01W-0995-10,1,1
TCGA-AA-3966-01A-01W-1073-09,1,1
TCGA-AA-A010-01A-01D-A17O-10,1,1
TCGA-AC-A23H-01A-11D-A159-09,1,1
TCGA-AD-6889-01A-11D-1924-10,1,1
TCGA-AD-A5EJ-01A-11D-A28G-10,1,1
TCGA-AG-A002-01A-01W-A00K-09,1,1
TCGA-AJ-A3EL-01A-11D-A20S-09,1,1
TCGA-AO-A0J6-01A-11W-A050-09,1,1
TCGA-AP-A056-01A-11W-A027-09,1,1
TCGA-AP-A1DV-01A-21D-A135-09,1,1
TCGA-B5-A0JY-01A-11D-A10B-09,1,1
TCGA-B5-A0K9-01A-21D-A10O-09,1,1
TCGA-B9-4113-01A-01D-1252-08,1,1
TCGA-BF-A3DM-01A-11D-A20D-08,1,1
TCGA-BG-A222-01A-11D-A159-09,1,1
TCGA-BK-A0C9-01A-11W-A027-09,1,1
TCGA-BR-4201-01A-01D-1126-08,1,1
TCGA-BR-7851-01A-11D-2201-08,1,1
TCGA-BR-8372-01A-11D-2340-08,1,1
TCGA-BR-8680-01A-11D-2394-08,1,1
TCGA-BS-A0UJ-01A-12D-A10B-09,1,1
TCGA-BS-A0UV-01A-11D-A10B-09,1,1
TCGA-CA-6717-01A-11D-1835-10,1,1
TCGA-CD-8536-01A-11D-2340-08,1,1
TCGA-CD-A4MI-01A-21D-A25D-08,1,1
TCGA-CF-A47X-01A-31D-A23U-08,1,1
TCGA-CG-4442-01A-01D-1158-08,1,1
TCGA-CG-5728-01A-11D-1600-08,1,1
TCGA-CK-4951-01A-01D-1408-10,1,1
TCGA-D3-A5GR-06A-11D-A27K-08,1,1
TCGA-D3-A8GI-06A-11D-A372-08,1,1
TCGA-D7-A6EY-01A-21D-A31L-08,1,1
TCGA-D8-A1J8-01A-11D-A13L-09,1,1
TCGA-DX-AB2E-01A-11D-A38Z-09,1,1
TCGA-DX-AB32-01A-11D-A417-09,1,1
TCGA-E6-A1LX-01A-11D-A14G-09,1,1
TCGA-EE-A20C-06A-11D-A196-08,1,1
TCGA-EE-A29E-06A-11D-A197-08,1,1
TCGA-EE-A2GO-06A-11D-A196-08,1,1
TCGA-EE-A2MM-06A-11D-A196-08,1,1
TCGA-EO-A3B0-01A-12D-A19Y-09,1,1
TCGA-ER-A19P-06A-11D-A196-08,1,1
TCGA-EW-A2FV-01A-11D-A17D-09,1,1
TCGA-F7-7848-01A-11D-2129-08,1,1
TCGA-FD-A43Y-01A-21D-A26M-08,1,1
TCGA-FP-A4BE-01A-12D-A24D-08,1,1
TCGA-G7-6795-01A-11D-1961-08,1,1
TCGA-G7-6797-01A-11D-1961-08,1,1
TCGA-GN-A4U4-06A-11D-A32N-08,1,1
TCGA-JX-A3Q0-01A-11D-A21Q-09,1,1
TCGA-LN-A49W-01A-11D-A27G-09,1,1
TCGA-MN-A4N4-01A-12D-A24P-08,1,1
TCGA-NH-A5IV-01A-42D-A36X-10,1,1
TCGA-OR-A5LB-01A-11D-A29I-10,1,1
TCGA-RD-A8NB-01A-12D-A397-08,1,1
TCGA-VQ-A8P2-01A-11D-A364-08,1,1
TCGA-VQ-A922-01A-11D-A410-08,1,1
TCGA-VQ-A924-01A-11D-A410-08,1,1
TCGA-WE-A8ZX-06A-11D-A372-08,1,1
