Tumor_Sample_Barcode,lof_count
TCGA-A5-A0G2-01A-11W-A062-09,8
TCGA-AJ-A3EL-01A-11D-A20S-09,8
TCGA-FW-A3R5-06A-11D-A23B-08,8
TCGA-A5-A1OF-01A-11D-A14G-09,6
TCGA-A5-A0G1-01A-11D-A122-09,5
TCGA-W3-AA1V-06B-11D-A401-08,5
TCGA-55-7576-01A-11D-2063-08,4
TCGA-A6-5665-01A-01D-1650-10,4
TCGA-AX-A0J0-01A-11D-A117-09,4
TCGA-B5-A1MR-01A-31D-A14G-09,4
TCGA-BG-A222-01A-11D-A159-09,4
TCGA-BS-A0UV-01A-11D-A10B-09,4
TCGA-CA-6717-01A-11D-1835-10,4
TCGA-EE-A181-06A-11D-A196-08,4
TCGA-64-5781-01A-01D-1625-08,3
TCGA-AA-3984-01A-02D-1981-10,3
TCGA-AP-A056-01A-11W-A027-09,3
TCGA-AP-A0LM-01A-11D-A122-09,3
TCGA-AP-A1DV-01A-21D-A135-09,3
TCGA-AX-A06F-01A-11W-A027-09,3
TCGA-AX-A1CE-01A-11D-A135-09,3
TCGA-AX-A2HC-01A-11D-A17D-09,3
TCGA-CR-7402-01A-11D-2012-08,3
TCGA-D3-A2JP-06A-11D-A19A-08,3
TCGA-D3-A8GI-06A-11D-A372-08,3
TCGA-DF-A2KU-01A-11D-A17W-09,3
TCGA-DU-6392-01A-11D-1705-08,3
TCGA-E6-A1LX-01A-11D-A14G-09,3
TCGA-EE-A29S-06A-11D-A197-08,3
TCGA-EO-A22R-01A-11D-A18P-09,3
TCGA-EO-A3B0-01A-12D-A19Y-09,3
TCGA-FI-A2D5-01A-11D-A17D-09,3
TCGA-IB-7651-01A-11D-2154-08,3
TCGA-MN-A4N4-01A-12D-A24P-08,3
TCGA-17-Z007-01A-01W-0746-08,2
TCGA-18-3409-01A-01D-0983-08,2
TCGA-22-1016-01A-01D-1521-08,2
TCGA-22-5473-01A-01D-1632-08,2
TCGA-55-7283-01A-11D-2036-08,2
TCGA-56-8622-01A-11D-2395-08,2
TCGA-60-2725-01A-01D-1267-08,2
TCGA-A5-A2K5-01A-11D-A17W-09,2
TCGA-A6-5661-01A-01D-1650-10,2
TCGA-AA-3510-01A-01D-1408-10,2
TCGA-AG-A002-01A-01W-A00K-09,2
TCGA-AP-A059-01A-21D-A122-09,2
TCGA-AX-A05Z-01A-11W-A027-09,2
TCGA-AX-A1C9-01A-11D-A135-09,2
TCGA-AX-A2HD-01A-21D-A17D-09,2
TCGA-B5-A0JY-01A-11D-A10B-09,2
TCGA-B5-A1MX-01A-11D-A142-09,2
